# Table created by editing the following input table: output/ASV_taxonomic_assignments/ASV_tax_assignments.tsv
# Used command:  dependencies/edit_table_basic.py -v -i output/ASV_taxonomic_assignments/ASV_tax_assignments.tsv --column_names_are_in first_data_line --row_names_are_in_column ASV -o output/ASV_taxonomic_assignments/prokaryotic_ASVs.tsv --processing_order f --omit_rows_by_data 'taxonomy:*\;Chloroplast*,*\;Mitochondria*,Unassigned' --include_comments_in_output --save_output_row_names_under_column ASV --save_output_column_names_in last_comment_line
# Generated on: 2025.12.23 10:10:00
#
# ASV	taxonomy
ASV.15054	Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Incertae Sedis
ASV.15055	Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Incertae Sedis
ASV.15056	Bacteria;Acidobacteriota;Acidobacteriae;Subgroup 2;Incertae Sedis;Incertae Sedis;uncultured Acidobacteria bacterium
ASV.15057	Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;Incertae Sedis
ASV.15058	Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales;Incertae Sedis;Incertae Sedis
ASV.15059	Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales;Incertae Sedis;Incertae Sedis
ASV.1506	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter
ASV.15060	Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales
ASV.15061	Archaea;Nanoarchaeota;Nanoarchaeia;Pacearchaeales;Incertae Sedis;SCGC AAA011-D5
ASV.15062	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Winogradskyella;microbial mat metagenome
ASV.15064	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Maritimimonas
ASV.15065	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidetes BD2-2;Incertae Sedis
ASV.15066	Bacteria;Calditrichota;Calditrichia;Calditrichales;Calditrichaceae;SM23-31
ASV.15067	Bacteria;Ignavibacteriota;Ignavibacteria;Ignavibacteriales;Melioribacteraceae;IheB3-7
ASV.15068	Bacteria;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Incertae Sedis;uncultured organism
ASV.15069	Bacteria;SAR324 clade(Marine group B);Incertae Sedis;Incertae Sedis;Incertae Sedis;Candidatus Nitrosoarchaeum
ASV.1507	Bacteria;Bacillota;Clostridia
ASV.15070	Bacteria;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales
ASV.15071	Bacteria;Pseudomonadota;Gammaproteobacteria
ASV.15072	Bacteria;Planctomycetota;Phycisphaerae;MSBL9;SG8-4;Incertae Sedis
ASV.15073	Bacteria;Pseudomonadota;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;Incertae Sedis
ASV.15074	Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Bremerella;uncultured bacterium
ASV.15075	Bacteria;Chloroflexota;Anaerolineae;Anaerolineales;Anaerolineaceae
ASV.15076	Bacteria;Chloroflexota;Anaerolineae;Anaerolineales;Anaerolineaceae;Incertae Sedis
ASV.15077	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae
ASV.15078	Bacteria;Latescibacterota;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.15079	Bacteria;LCP-89;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis;uncultured Deferribacteres bacterium
ASV.1508	Bacteria;Acidobacteriota;Blastocatellia;Chloracidobacteriales;Chloracidobacteriaceae;Chloracidobacterium;Chloracidobacterium thermophilum B
ASV.15080	Bacteria;Actinomycetota;Thermoleophilia;Solirubrobacterales;67-14;Incertae Sedis
ASV.15081	Bacteria
ASV.15082	Bacteria;Latescibacterota;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.15084	Bacteria;Chloroflexota;Anaerolineae;Caldilineales;Caldilineaceae
ASV.15085	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Microbacteriaceae
ASV.15086	Bacteria
ASV.15087	Bacteria;Bacteroidota;Bacteroidia;Bacteroidetes VC2.1 Bac22;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.15088	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;ML635J-40 aquatic group;Incertae Sedis
ASV.15089	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;ML635J-40 aquatic group;Incertae Sedis
ASV.1509	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Candidatus Chlorothrix;uncultured Chloroflexi bacterium
ASV.15090	Bacteria;Bacillota
ASV.15091	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;ML635J-40 aquatic group;Incertae Sedis
ASV.15092	Bacteria;Bacillota;Bacilli;Izemoplasmatales;Incertae Sedis;Incertae Sedis
ASV.15093	Bacteria;Bacillota;Dethiobacteria;Dethiobacterales;Dethiobacteraceae;Dethiobacter
ASV.15094	Bacteria;Bacillota;D8A-2;Incertae Sedis;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.15095	Bacteria;Verrucomicrobiota;Kiritimatiellia;WCHB1-41;Incertae Sedis;Incertae Sedis;uncultured organism
ASV.15096	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae
ASV.15097	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae
ASV.15098	Bacteria;Bacillota;Dethiobacteria;Dethiobacterales;Dethiobacteraceae;Incertae Sedis;uncultured low G+C Gram-positive bacterium
ASV.15099	Bacteria;BHI80-139;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.151	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium
ASV.1510	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae
ASV.15100	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;ML635J-40 aquatic group;Incertae Sedis
ASV.15101	Bacteria;Balneolota;Balneolia;Balneolales;Balneolaceae;F1-37X2
ASV.15102	Bacteria;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae
ASV.15103	Bacteria;Thermotogota;Thermotogae;Kosmotogales;Kosmotogaceae;Incertae Sedis;uncultured bacterium
ASV.15104	Bacteria;Bacillota;Clostridia;Peptostreptococcales-Tissierellales
ASV.15105	Bacteria;Bacillota;Dethiobacteria;Dethiobacterales;Dethiobacteraceae;Incertae Sedis;uncultured low G+C Gram-positive bacterium
ASV.15106	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;ML635J-40 aquatic group;Incertae Sedis
ASV.15107	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;ML635J-40 aquatic group;Incertae Sedis
ASV.15108	Bacteria;BHI80-139;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.15109	Bacteria;Bacillota;Dethiobacteria;Dethiobacterales;Dethiobacteraceae
ASV.1511	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae
ASV.15110	Bacteria;Bacillota;Clostridia;Peptostreptococcales-Tissierellales
ASV.15111	Bacteria;Bacillota;Desulfitobacteriia;Desulfitobacteriales;Incertae Sedis;Incertae Sedis
ASV.15112	Bacteria;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobotulus;Desulfobotulus sp.
ASV.15113	Bacteria;Bacillota;Dethiobacteria;Dethiobacterales;Dethiobacteraceae;Dethiobacter
ASV.15114	Bacteria;Bacillota;Dethiobacteria;Dethiobacterales;Dethiobacteraceae;Candidatus Contubernalis
ASV.15115	Bacteria;Bacillota;Dethiobacteria;Dethiobacterales;Dethiobacteraceae;Incertae Sedis
ASV.15116	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;ML635J-40 aquatic group;Incertae Sedis
ASV.15117	Bacteria;Bacteroidota;Bacteroidia
ASV.15118	Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae
ASV.15119	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;Incertae Sedis
ASV.1512	Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Incertae Sedis;Incertae Sedis;uncultured archaeon
ASV.15120	Bacteria;Bacillota;Thermoanaerobacteria;Thermoanaerobacterales;SRB2;Incertae Sedis;uncultured bacterium
ASV.15121	Bacteria;Verrucomicrobiota;Kiritimatiellia;WCHB1-41;Incertae Sedis;Incertae Sedis
ASV.15122	Bacteria;Bacillota;Limnochordia;M55-D21;Incertae Sedis;Incertae Sedis
ASV.15123	Bacteria;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Incertae Sedis;Desulfobacteraceae bacterium
ASV.15124	Bacteria;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfonatronaceae;Desulfonatronum;Desulfonatronum thiosulfatophilum
ASV.15125	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia
ASV.15126	Bacteria;Verrucomicrobiota;Kiritimatiellia;WCHB1-41;Incertae Sedis;Incertae Sedis
ASV.15127	Bacteria;Bacillota;Bacilli;Izemoplasmatales;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.15128	Bacteria
ASV.15129	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Incertae Sedis
ASV.1513	Bacteria;Pseudomonadota;Alphaproteobacteria;Pelagibacterales;Clade I;Clade Ia
ASV.15130	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;Incertae Sedis;Incertae Sedis
ASV.15131	Bacteria;Verrucomicrobiota;Kiritimatiellia;WCHB1-41;Incertae Sedis;Incertae Sedis
ASV.15132	Bacteria;Bacillota;Clostridia;Oscillospirales;UCG-010;Incertae Sedis;uncultured bacterium
ASV.15133	Bacteria;Bacillota;Dethiobacteria;Dethiobacterales;Dethiobacteraceae;Incertae Sedis
ASV.15134	Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101 soil group;Incertae Sedis
ASV.15135	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales
ASV.15136	Bacteria;Methylomirabilota;Methylomirabilia;Rokubacteriales;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.15137	Bacteria;Acidobacteriota;Acidobacteriae;Terriglobales;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.15138	Bacteria;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae
ASV.15139	Bacteria
ASV.1514	Archaea;Thermoplasmatota;Thermoplasmata;Marine Group II;Incertae Sedis;Incertae Sedis
ASV.15140	Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae
ASV.15141	Bacteria;Acidobacteriota;Acidobacteriae;Terriglobales;Acidobacteriaceae (Subgroup 1);Incertae Sedis;metagenome
ASV.15142	Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Incertae Sedis;Incertae Sedis;uncultured Thermoanaerobaculum sp.
ASV.15143	Bacteria;Pseudomonadota;Alphaproteobacteria;Elsterales;Incertae Sedis;Incertae Sedis
ASV.15144	Bacteria;Armatimonadota;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis;uncultured Armatimonadetes bacterium
ASV.15145	Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Incertae Sedis;uncultured bacterium
ASV.15146	Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae
ASV.15147	Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Incertae Sedis;uncultured bacterium
ASV.15148	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;uncultured bacterium
ASV.15149	Bacteria;Actinomycetota;Thermoleophilia;Solirubrobacterales;67-14;Incertae Sedis;uncultured bacterium
ASV.1515	Bacteria;Pseudomonadota;Alphaproteobacteria;Parvibaculales;OCS116 clade;Incertae Sedis
ASV.15150	Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Incertae Sedis;Incertae Sedis;uncultured Acidobacteria bacterium
ASV.15151	Bacteria;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae;Incertae Sedis;uncultured soil bacterium
ASV.15152	Bacteria;Pseudomonadota;Alphaproteobacteria;Tistrellales;Geminicoccaceae;Candidatus Alysiosphaera;metagenome
ASV.15153	Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Dankookia;uncultured Acetobacteraceae bacterium
ASV.15154	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Microscillaceae
ASV.15155	Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pirellula
ASV.15156	Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae
ASV.15157	Bacteria;Acidobacteriota;Acidobacteriae;Terriglobales;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.15158	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Microvirga
ASV.15159	Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101 soil group;Incertae Sedis
ASV.1516	Archaea;Nanoarchaeota;Nanoarchaeia;Pacearchaeales;Incertae Sedis
ASV.15160	Bacteria;Actinomycetota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter;uncultured bacterium
ASV.15161	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Incertae Sedis
ASV.15162	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Rhodoplanes;uncultured bacterium
ASV.15163	Bacteria;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae;Incertae Sedis;uncultured bacterium
ASV.15164	Bacteria;Chloroflexota;Gitt-GS-136;Incertae Sedis;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.15165	Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Incertae Sedis;metagenome
ASV.15166	Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Incertae Sedis;uncultured bacterium
ASV.15167	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Luteibacter
ASV.15168	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia
ASV.15169	Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Tautonia
ASV.1517	Bacteria;Chloroflexota;Anaerolineae;Anaerolineales;Anaerolineaceae;ADurb.Bin120;uncultured organism
ASV.15170	Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Incertae Sedis;Incertae Sedis
ASV.15171	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus
ASV.15172	Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Incertae Sedis;Incertae Sedis
ASV.15173	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Microscillaceae
ASV.15174	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Intrasporangiaceae
ASV.15175	Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;metagenome
ASV.15176	Bacteria;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Incertae Sedis
ASV.15177	Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.15178	Bacteria;Armatimonadota;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.15179	Bacteria;Actinomycetota;Coriobacteriia;OPB41;Incertae Sedis;Incertae Sedis
ASV.1518	Bacteria;Bacillota;Bacilli;Bacillales
ASV.15180	Bacteria;Bacillota;Negativicutes;Veillonellales-Selenomonadales;Sporomusaceae;Anaerosporomusa;uncultured bacterium
ASV.15181	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhizobacter;metagenome
ASV.15182	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhizobacter;metagenome
ASV.15183	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Parasegetibacter;Parasegetibacter terrae
ASV.15184	Bacteria;Bacillota;Clostridia;Eubacteriales;Alkalibacteraceae;Alkalibacter;uncultured bacterium
ASV.15185	Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae
ASV.15186	Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Gemmata
ASV.15187	Bacteria;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae;Incertae Sedis;uncultured soil bacterium
ASV.15188	Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Incertae Sedis
ASV.15189	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae
ASV.1519	Bacteria;Pseudomonadota;Alphaproteobacteria;Incertae Sedis;Incertae Sedis;Incertae Sedis;uncultured Alphaproteobacteria bacterium
ASV.15190	Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Incertae Sedis;uncultured bacterium
ASV.15191	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae
ASV.15192	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae;Incertae Sedis
ASV.15193	Bacteria;Bacillota;Bacilli;Alicyclobacillales;Alicyclobacillaceae;Tumebacillus;uncultured bacterium
ASV.15194	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales
ASV.15195	Bacteria
ASV.15196	Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;TPD-58;uncultured Desulfuromonas sp.
ASV.15197	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales
ASV.15199	Bacteria;Thermodesulfobacteriota;Syntrophorhabdia;Syntrophorhabdales;Syntrophorhabdaceae;Syntrophorhabdus;uncultured bacterium
ASV.152	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
ASV.1520	Bacteria;Pseudomonadota;Gammaproteobacteria
ASV.15200	Bacteria;Myxococcota;Polyangiia;Polyangiales
ASV.15201	Bacteria;Verrucomicrobiota;Verrucomicrobiia;Pedosphaerales;Pedosphaeraceae
ASV.15202	Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101 soil group;Incertae Sedis
ASV.15203	Bacteria;Bacillota;Clostridia;Oscillospirales;Ethanoligenenaceae
ASV.15204	Bacteria;Bacillota;Clostridia
ASV.15205	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Magnetospirillaceae
ASV.15206	Bacteria;Thermodesulfobacteriota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae
ASV.15207	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas
ASV.15208	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae UCG-001;Marseilla massiliensis
ASV.15209	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;uncultured bacterium
ASV.1521	Bacteria;Chloroflexota;Anaerolineae;SJA-15;Incertae Sedis;Incertae Sedis
ASV.15210	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium
ASV.15211	Bacteria;Bacillota;Clostridia;Oscillospirales;Ruminococcaceae;Negativibacillus;uncultured bacterium
ASV.15212	Bacteria;Bacillota;Clostridia;Peptococcales;Peptococcaceae;Peptococcus;uncultured bacterium
ASV.15213	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;uncultured bacterium
ASV.15214	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae NK3B31 group;uncultured bacterium
ASV.15215	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter
ASV.15216	Bacteria;Bacillota;Negativicutes;Veillonellales-Selenomonadales;Sporomusaceae;Pelosinus
ASV.15217	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;uncultured bacterium
ASV.15218	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
ASV.15219	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides
ASV.1522	Bacteria;Pseudomonadota;Gammaproteobacteria;PLTA13;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.15220	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;bacterium M7(2011)
ASV.15221	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
ASV.15222	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomataceae;Dyadobacter;metagenome
ASV.15223	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas
ASV.15224	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Microbacteriaceae
ASV.15225	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae
ASV.15226	Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Roseomonas;bacterium ZSGR24
ASV.15227	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;Intestinimonas;uncultured bacterium
ASV.15228	Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas
ASV.15229	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas
ASV.1523	Bacteria;Actinomycetota;Actinobacteria;Frankiales;Sporichthyaceae;hgcI clade;uncultured bacterium
ASV.15230	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Noviherbaspirillum
ASV.15231	Bacteria;Bacillota;Negativicutes;Veillonellales-Selenomonadales;Sporomusaceae;Pelosinus
ASV.15232	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae
ASV.15233	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae
ASV.15234	Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Gemmata
ASV.15235	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;Incertae Sedis;uncultured bacterium
ASV.15236	Bacteria;Bacillota;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae
ASV.15237	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;Intestinimonas;uncultured bacterium
ASV.15238	Bacteria;Bacillota;Clostridia;Clostridia UCG-014;Incertae Sedis;Incertae Sedis;unidentified
ASV.15239	Bacteria;Bacillota;Clostridia
ASV.1524	Bacteria;Actinomycetota;Thermoleophilia;Gaiellales;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.15240	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;uncultured bacterium
ASV.15241	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.15242	Bacteria;Bacillota;Clostridia;Oscillospirales;UCG-010;Incertae Sedis
ASV.15243	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;NK4A214 group;uncultured bacterium
ASV.15244	Bacteria;Bacillota;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;uncultured bacterium
ASV.15245	Bacteria;Bacillota;Bacilli;RF39;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.15246	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;Ruminiclostridium;uncultured bacterium
ASV.15247	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;uncultured bacterium
ASV.15248	Bacteria;Bacillota;Clostridia;Oscillospirales;UCG-010;Incertae Sedis
ASV.15249	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae
ASV.1525	Bacteria;Verrucomicrobiota;Verrucomicrobiia;Pedosphaerales;Pedosphaeraceae;Incertae Sedis;bacterium enrichment culture clone auto67_4W
ASV.15250	Bacteria;Bacillota;Clostridia;Oscillospirales;UCG-010;Incertae Sedis
ASV.15251	Bacteria;Bacillota;Bacilli;RF39;Incertae Sedis;Incertae Sedis
ASV.15252	Bacteria;Bacillota;Clostridia
ASV.15253	Bacteria;Bacillota;Clostridia
ASV.15254	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Incertae Sedis;Incertae Sedis
ASV.15255	Bacteria;Bacillota
ASV.15256	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;uncultured bacterium
ASV.15257	Bacteria;Bacillota;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group
ASV.15258	Bacteria;Actinomycetota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium
ASV.15259	Bacteria;Chloroflexota;Anaerolineae;Aggregatilineales;A4b;Incertae Sedis;uncultured bacterium
ASV.1526	Bacteria;Bacillota;Clostridia;Oscillospirales;UCG-010;Incertae Sedis
ASV.15260	Bacteria;Chloroflexota;Anaerolineae;Aggregatilineales;A4b;Incertae Sedis;uncultured bacterium
ASV.15261	Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales
ASV.15262	Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Gemmata
ASV.15263	Bacteria;Chlorobiota;Chlorobia;Chlorobiales;Chloroherpetonaceae;GBChlB;uncultured Chlorobi bacterium
ASV.15264	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Candidatus Chlorothrix;uncultured Chloroflexi bacterium
ASV.15265	Bacteria;Chloroflexota;Anaerolineae;Aggregatilineales;A4b;Incertae Sedis
ASV.15266	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;SB-5;Incertae Sedis;uncultured bacterium
ASV.15267	Bacteria;Bacteroidota;Bacteroidia
ASV.15268	Bacteria;Cyanobacteriota;Cyanobacteriia;Pseudanabaenales;Pseudanabaenaceae;Incertae Sedis
ASV.15269	Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101 soil group;Incertae Sedis
ASV.1527	Bacteria;Chlorobiota;Chlorobia;Chlorobiales;Chloroherpetonaceae;GBChlB;uncultured bacterium
ASV.15270	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Microscillaceae;Thermoflexibacter
ASV.15271	Bacteria;Armatimonadota;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis;uncultured Armatimonadetes bacterium
ASV.15272	Bacteria;Chlorobiota;Chlorobia;Chlorobiales;Chloroherpetonaceae;GBChlB;uncultured Chlorobi bacterium
ASV.15273	Bacteria;Planctomycetota;Phycisphaerae;mle1-8;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.15274	Bacteria;Deferribacterota;Deferribacteres;Deferribacterales;Deferribacteraceae;Calditerrivibrio
