# Table created by editing the following input table: output/ASV_taxonomic_assignments/ASV_tax_assignments.tsv
# Used command:  dependencies/edit_table_basic.py -v -i output/ASV_taxonomic_assignments/ASV_tax_assignments.tsv --column_names_are_in first_data_line --row_names_are_in_column ASV -o output/ASV_taxonomic_assignments/prokaryotic_ASVs.tsv --processing_order f --omit_rows_by_data 'taxonomy:*\;Chloroplast*,*\;Mitochondria*,Unassigned' --include_comments_in_output --save_output_row_names_under_column ASV --save_output_column_names_in last_comment_line
# Generated on: 2025.12.23 10:10:00
#
# ASV	taxonomy
ASV.10043	Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;uncultured bacterium
ASV.10044	Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;Incertae Sedis
ASV.10045	Bacteria;Verrucomicrobiota;Verrucomicrobiia;Chthoniobacterales;Chthoniobacteraceae;Candidatus Udaeobacter
ASV.10046	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Incertae Sedis;uncultured bacterium
ASV.10047	Bacteria;Actinomycetota;Thermoleophilia;Solirubrobacterales;67-14;Incertae Sedis;uncultured bacterium
ASV.10048	Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101 soil group;Incertae Sedis
ASV.10049	Bacteria;Actinomycetota;MB-A2-108;Incertae Sedis;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.1005	Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acidocella;uncultured bacterium
ASV.10050	Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.10051	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae
ASV.10052	Bacteria;Actinomycetota;Thermoleophilia;Solirubrobacterales;67-14;Incertae Sedis;uncultured bacterium
ASV.10053	Bacteria;Acidobacteriota;Blastocatellia;Elev-16S-573;Incertae Sedis;Incertae Sedis
ASV.10054	Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Incertae Sedis;uncultured bacterium
ASV.10055	Bacteria;Actinomycetota;Thermoleophilia;Solirubrobacterales
ASV.10056	Bacteria;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae;Incertae Sedis;uncultured bacterium
ASV.10057	Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;uncultured bacterium
ASV.10058	Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101 soil group;Incertae Sedis
ASV.10059	Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Tundrisphaera;uncultured bacterium
ASV.1006	Bacteria;Acidobacteriota;Acidobacteriae;Terriglobales;Koribacteraceae;Candidatus Koribacter;uncultured Acidobacteria bacterium
ASV.10060	Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Incertae Sedis
ASV.10061	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;Incertae Sedis;uncultured bacterium
ASV.10062	Bacteria;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae
ASV.10063	Bacteria;Actinomycetota;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella
ASV.10064	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Microscillaceae;Incertae Sedis
ASV.10065	Bacteria;Actinomycetota;Thermoleophilia;Solirubrobacterales;67-14;Incertae Sedis;uncultured bacterium
ASV.10066	Bacteria;Planctomycetota;BD7-11;Incertae Sedis;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.10067	Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Tautonia;uncultured bacterium
ASV.10068	Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Incertae Sedis;uncultured bacterium
ASV.10069	Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae
ASV.1007	Bacteria;Verrucomicrobiota;Verrucomicrobiia;Pedosphaerales;Pedosphaeraceae;Incertae Sedis
ASV.10070	Bacteria;Actinomycetota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter
ASV.10071	Bacteria;Actinomycetota;Actinobacteria;Micromonosporales;Micromonosporaceae;Rhizocola;Catellatospora sp. KC-EP-S6
ASV.10072	Bacteria;Pseudomonadota;Alphaproteobacteria;Tistrellales;Geminicoccaceae;Candidatus Alysiosphaera;metagenome
ASV.10073	Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Gemmata;metagenome
ASV.10074	Bacteria;Bacillota;Bacilli;Bacillales
ASV.10075	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae
ASV.10076	Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Tautonia;uncultured bacterium
ASV.10077	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Microscillaceae
ASV.10078	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Microscillaceae;Ohtaekwangia;metagenome
ASV.10079	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Microscillaceae
ASV.1008	Bacteria;Marinimicrobia (SAR406 clade);Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.10080	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Azohydromonas
ASV.10081	Bacteria;Bacillota;Clostridia
ASV.10082	Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae
ASV.10083	Archaea;Halobacteriota;Methanocellia;Methanocellales;Methanocellaceae;Methanocella
ASV.10084	Bacteria;Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Geothrix
ASV.10085	Bacteria;Actinomycetota;Thermoleophilia;Gaiellales;Incertae Sedis;Incertae Sedis
ASV.10086	Bacteria;Myxococcota;Polyangiia;Polyangiales;BIrii41;Incertae Sedis
ASV.10087	Bacteria;Verrucomicrobiota;Verrucomicrobiia;Chthoniobacterales;Chthoniobacteraceae
ASV.10088	Bacteria;Actinomycetota;Actinobacteria;Micrococcales
ASV.10089	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;Incertae Sedis;uncultured Acetivibrio sp.
ASV.1009	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;Incertae Sedis;uncultured bacterium
ASV.10090	Bacteria;Bacillota;Clostridia
ASV.10091	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae
ASV.10092	Bacteria;Bacillota;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Allobaculum
