# Collapsed table './output/gene_annotation/gene_annotation_in_coassemblies_by_all/gene_vs_sample_table.tsv.gz'
# Generated on: 2025.12.28 06:12:27
# Used command:
#   ./dependencies/collapse_table.py -i ./output/gene_annotation/gene_annotation_in_coassemblies_by_all/gene_vs_sample_table.tsv.gz -g ./output/gene_annotation/gene_annotation_in_coassemblies_by_all/functional_groups.txt -o ./output/gene_annotation/gene_annotation_in_coassemblies_by_all/genes_collapsed_by_function/function_vs_sample_table.tsv -r ./output/gene_annotation/gene_annotation_in_coassemblies_by_all/genes_collapsed_by_function/report.txt --out_sub_tables_dir ./output/gene_annotation/gene_annotation_in_coassemblies_by_all/genes_collapsed_by_function/sub_tables_per_function --out_group_definitions_used ./output/gene_annotation/gene_annotation_in_coassemblies_by_all/genes_collapsed_by_function/used_group_definitions.tsv --row_names_are_in_column sample --collapse_columns_instead_of_rows --column_names_are_in first_data_line --normalize_collapsed none -f -v --verbose_prefix '    ' --group_title function --group_members_defined_as wildcards --output_format_collapsed classical --output_format_group_overlaps classical --omit_unrepresented_groups --include_summary_comments --average none --data_title sample --allow_duplicate_groups --out_groups2Nrecords_table ./output/gene_annotation/gene_annotation_in_coassemblies_by_all/genes_collapsed_by_function/Ngenes_per_function.tsv
#
# Summary:
#   Loaded 68 groups comprising 1104 members (994 unique members)
#   Established 893 assignments of records to groups
#   7872 out of 8471 records could not be assigned to any group (leftovers)
#   Number of groups represented: 62
#
sample	nitritation_HAO	dissimilatory_nitrate_oxidoreduction_to_nitrite_narGH	dissimilatory_nitrite_reduction_to_ammonium	nitrate_respiration	nitrite_respiration	denitrification_norBC	denitrification_nosZ	nitrate_reduction	nitrogen_assimilation	dissimilatory_nitrogen_metabolism	nitrogen_respiration	sulfate_sulfide_oxidoreduction_aprAB	sulfate_sulfide_oxidoreduction_dsrAB	dissimilatory_sulfate_sulfide_oxidoreduction	sulfide_oxidation_fcc_sqr	thiosulfate_reduction_to_sulfide	sulfite_oxidation_to_sulfate	sulfate_transport	thiosulfate_oxidation_sox	dissimilatory_sulfur_metabolism	oxygen_respiration_cox	heterotrophy_PTS	methanol_oxidation	pmoABC_amoABC	methylotrophy	methanogenic_or_sulfate_reducing_hdr	methanogenesis	carbon_monoxide_oxidation	xylanolysis	cellulolysis	chitinolysis	ligninolysis	mannanolysis	carbon_fixation	anaplerotic_carbon_fixation	ureolysis_uca	ureolysis	aromatic_hydrocarbon_degradation	plastics_degradation	oxygenic_photosynthesis	anoxygenic_phototrophy	photosynthesis	phototrophy	nitrogen_fixation	selenate_reduction	nitrite_nitrate_transport	toluene_degradation	aromatic_compound_degradation	plant_pathogenicity_xanthomonas	arsenate_detoxification	arsenite_oxidation	hydrogen_oxidoreduction	fermentation	fumarate_respiration	reductive_acetogenesis	oxidative_phosphorylation	glucose_transporters	monosaccharide_ABC_transporters	oligosaccharide_polyol_and_lipid_ABC_transporters	monosaccharide_oligosaccharide_polyol_and_lipid_ABC_transporters	recA_DNA_repair	antibiotic_resistance
Hot05	0	1.568742868e-05	1.171354231e-05	2.555180257e-05	2.271286679e-05	3.127549234e-06	5.539286049e-06	3.313616047e-05	0.00041780109	5.693150464e-05	5.693150464e-05	1.22599544e-05	1.688258595e-05	2.914254035e-05	0.0001250421378	5.329588231e-07	0	5.070244987e-05	0.0001079969354	0.0002627145724	0.0007629292515	0.0001811355303	0	0	0	4.821821079e-06	0	8.993592986e-05	2.870730441e-05	3.018082012e-05	0	0	4.821078165e-05	0.0006097257816	0.0004410082519	6.767712586e-07	5.029344649e-05	1.48799504e-05	3.681038199e-07	0.0005598119513	0.0002357528671	0.0009713860553	0.001207138922	7.364220969e-05	0	9.410400185e-05	0	0.0002741350674	6.399788914e-05	0.000118008084	2.288711228e-05	7.928085107e-05	0.000565514265	5.492860907e-08	0	0.005002623958	3.587325137e-05	0.0001955398524	0.0006662206062	0.0008296239135	0.0001991586061	0.0003745682694
Lak01	0	6.398379092e-06	0	6.398379092e-06	0	0	0	6.398379092e-06	0.0002965134237	6.398379092e-06	6.398379092e-06	0	0	0	2.805995565e-05	0	0	1.187925033e-05	4.78414373e-05	7.590139295e-05	0.0006034748936	1.510664987e-05	8.425691832e-06	0	2.318682918e-05	0	0	9.079712165e-06	1.950638688e-05	2.149037338e-08	0	0	9.152127199e-06	0.001118838947	0.0002176710677	0	0	1.300349224e-05	3.691431823e-08	0.005005266323	7.500117609e-05	0.008892800151	0.008967801327	0	0	2.025032682e-05	0	4.064741604e-05	0	3.905087773e-05	0	0	0.0001170368306	0	0	0.005206817446	0	8.216392136e-07	0.000172111889	0.0001728926141	0.0001049383976	3.493876671e-05
Mud01	1.86992973e-06	7.268830019e-06	1.139675583e-05	1.133801795e-05	1.139675583e-05	6.783478454e-05	0	1.133801795e-05	0.0004888382394	9.243948805e-05	9.056955832e-05	1.658982785e-06	1.745027428e-05	1.910925706e-05	6.802061326e-06	0	0	2.598321877e-06	0	2.591131839e-05	0.0001129348709	6.815975094e-05	0	1.153564851e-06	5.44380749e-05	0.0006217476835	1.148646629e-05	5.417717631e-05	3.108772299e-05	1.727633379e-05	1.770334905e-05	0	4.97355784e-05	9.681291437e-05	2.999415679e-05	0	6.914221338e-06	5.980232423e-06	0	0	0	2.055611312e-06	2.055611312e-06	2.163639398e-06	0	1.519355111e-06	0	0.0001713944796	0	0.0001351467028	5.880267737e-06	3.977369659e-05	0.0006062131823	1.143164166e-06	0.0002316281163	0.001564166176	6.617554797e-05	0.0001026595661	0.0002891292867	0.0003823555465	6.277649824e-05	0.0001852587268
Mud02	7.634853931e-07	1.052307558e-05	1.433382276e-05	1.345269142e-05	1.433382276e-05	5.791622073e-05	0	1.345269142e-05	0.0004223150991	8.646622031e-05	8.570273491e-05	8.532128668e-06	1.992175989e-05	2.845388856e-05	5.982903273e-06	0	0	1.384023462e-06	4.569209109e-06	3.900600094e-05	0.0001530326551	9.457083764e-05	0	9.541590743e-07	5.577277427e-05	0.0006248594445	7.090451738e-06	5.439138796e-05	2.811030637e-05	1.554205891e-05	2.163940572e-05	0	3.784149316e-05	0.0001028458965	3.265327715e-05	0	5.216534465e-06	2.214630435e-06	5.061468108e-07	0	0	1.421498399e-06	1.421498399e-06	1.698866102e-06	0	1.326413755e-06	0	0.0001683692399	0	0.0001207169022	3.282594583e-06	3.734175077e-05	0.0006171240871	1.555836985e-06	0.0002255796088	0.0016515545	6.056459051e-05	0.0001037699598	0.0003126927032	0.0004070650966	6.532325526e-05	0.0001983770772
Mud03	1.195133097e-06	1.092194878e-06	9.827964329e-06	1.092194878e-06	1.211046296e-05	6.002021988e-05	0	1.092194878e-06	0.0005147534518	7.441801081e-05	7.322287772e-05	4.474217447e-07	1.681882821e-05	1.726624995e-05	3.943639716e-06	0	0	0	2.045354417e-06	2.325524409e-05	0.0001112301119	3.571791468e-05	0	0	5.133624716e-05	0.000659676131	1.489868108e-05	7.591230936e-05	1.567514507e-05	7.673465436e-06	1.916766928e-05	0	4.816154029e-05	8.881268758e-05	2.182256631e-05	0	5.873127737e-06	2.717605435e-06	0	8.066677466e-08	0	5.417558441e-06	5.417558441e-06	2.482055647e-06	0	9.192158726e-07	0	0.0001383203133	0	0.0001162576166	6.119847973e-06	3.354471502e-05	0.000590322944	1.420676574e-06	0.0002597771275	0.001547764976	7.267534611e-05	9.689654714e-05	0.0002847608424	0.000370739215	7.538547519e-05	0.0001775805006
Mud04	2.468146234e-06	7.269032707e-06	8.759782308e-06	2.087528835e-05	1.013294592e-05	3.32132399e-05	1.586828361e-07	2.108478804e-05	0.0005364911261	6.684830324e-05	6.438015701e-05	3.635644013e-06	8.218383846e-06	1.185402786e-05	7.687461224e-06	0	0	9.251675467e-06	1.85979131e-06	2.140128039e-05	0.0001502172169	8.595264752e-05	0	3.460480289e-07	6.022498719e-05	0.0006799425493	1.026405124e-05	4.769514606e-05	2.551556163e-05	3.539183106e-05	4.67426366e-06	0	9.885901005e-05	0.0001636945095	7.706167372e-05	0	1.087981947e-05	1.031077983e-05	4.52556072e-07	0	0	1.253267387e-06	1.253267387e-06	9.997301258e-06	0	9.479862618e-06	0	0.0001531447787	0	0.000120670769	1.13514592e-06	4.066830798e-05	0.000708182283	9.545164379e-07	0.0002666351087	0.001684326623	7.625643928e-05	0.0001500003127	0.0002211888697	0.000362734281	6.750645321e-05	0.0001968520457
Mud05	8.977703709e-07	9.479928742e-05	4.162332888e-06	0.0002096562212	6.736939036e-05	2.191991808e-05	5.968255891e-06	0.0002233848236	0.0004976872355	0.0003058115559	0.0003049137856	7.010130844e-05	7.674054051e-05	0.000146841849	0.0002614800285	0	0	2.569942672e-05	0.0002242542963	0.0006325761738	0.0008001397517	0.0003034053104	2.839353917e-06	1.946029827e-06	2.751594179e-05	0.0002669261852	1.108805117e-06	0.0002310245	3.484297283e-05	1.82716404e-05	8.103633853e-06	0	4.372356564e-05	0.0004087701653	0.0001704464645	0	8.685389942e-05	0.0001982131554	1.956591276e-05	5.391179803e-07	0	8.275697141e-06	8.27569714e-06	5.594585754e-05	0	0.0001224762597	9.582320029e-06	0.0004022249893	0	0.0001982291437	5.364474849e-06	0.0001317347825	0.0005262424204	9.421775337e-06	9.674160218e-05	0.004392856471	3.094913632e-05	0.0002036992163	0.0007646882567	0.0009371140904	0.0001492871304	0.0002976283468
Sea01	0	2.267072538e-07	5.555606975e-08	2.267072538e-07	5.555606975e-08	0	0	2.267072538e-07	0.001095288756	2.822633236e-07	2.822633236e-07	0.0001137217003	7.380234009e-07	0.0001144597237	0.000131262396	0	0	0	0.0001734494442	0.0004191715639	0.001485263177	0.0002259216977	7.091458636e-06	0	7.091458636e-06	3.906476032e-07	0	2.90901239e-05	9.781243517e-06	1.862417417e-05	1.475800403e-05	0	1.171860553e-05	0.0003871556114	0.00033679772	0	1.204858157e-05	7.656477019e-07	0	7.999921153e-05	2.872460528e-05	9.195821443e-05	0.0001206828197	0	0	0	0	6.758175134e-05	0	0.0002754108282	0	2.674252186e-06	0.000906725399	0	0	0.008178248053	0.0001904968825	0.000587413369	0.0009654388162	0.001530826993	0.0002988528591	0.0001308368886
Sed01	0	0	0	1.026349797e-05	3.784441134e-05	7.712748836e-05	0	1.026349797e-05	0.0006112119095	0.0001252353977	0.0001252353977	6.252307828e-05	1.527792324e-05	7.780100152e-05	0.0001188248505	0	0	0	8.285191906e-05	0.0002794777711	0.00063558405	6.889992708e-05	0	2.841428551e-05	0	1.386176372e-05	0	2.075080906e-05	0	0	0	0	8.608371807e-06	0.0005277596277	0.0004522400054	0	0	2.414060963e-05	0	0	0	6.482856208e-06	6.482856208e-06	0	0	0	0	6.416955461e-05	0	9.118696525e-05	3.717428262e-05	0	0.0003485543514	4.380522046e-06	0	0.002799020896	0	2.427256948e-05	0.0007234258071	0.0007475072827	0.0001689547813	9.324948079e-05
Sed02	0	3.863959308e-05	4.842239289e-06	4.325605515e-05	7.943192394e-06	4.317523492e-05	0	4.346085031e-05	0.0003128542611	9.437448247e-05	9.437448247e-05	2.055523242e-05	3.08868716e-06	2.364391958e-05	4.621689521e-05	0	0	2.322639958e-06	0.000174211191	0.0002440720057	0.0003695678233	2.578384828e-05	0	1.546939299e-05	0	5.761482517e-06	0	4.939285293e-06	1.41534827e-05	0	1.243714762e-08	0	7.430932717e-05	0.0003062779735	6.41311051e-05	0	8.688363177e-07	6.372974631e-05	1.689791017e-05	0.0008559260283	0	0.001564901536	0.001564901536	0	0	1.843876597e-05	0	0.0001113631111	0	4.572036384e-05	0	1.825031646e-06	0.0001735440183	0	0	0.002326049708	0	2.78423519e-08	0.0004266241189	0.0004266519612	0.0001729237254	0.0001006306036
