accession	species	domain	phylum	class	order	family	genus	taxonomy	methanotrophy.value	methanogenesis.value	methanogenesis_by_disproportionation_of_methyl_groups.value	acetoclastic_methanogenesis.value	methanogenesis_using_formate.value	methanogenesis_by_CO2_reduction_with_H2.value	methanogenesis_by_reduction_of_methyl_compounds_with_H2.value	hydrogenotrophic_methanogenesis.value	methanol_oxidation.value	methylotrophy.value	aerobic_ammonia_oxidation.value	aerobic_nitrite_oxidation.value	nitrification.value	sulfate_respiration.value	sulfur_respiration.value	dark_sulfite_oxidation.value	sulfite_respiration.value	thiosulfate_respiration.value	respiration_of_sulfur_compounds.value	arsenate_detoxification.value	arsenate_respiration.value	dissimilatory_arsenate_reduction.value	arsenite_oxidation_detoxification.value	arsenite_oxidation_energy_yielding.value	dissimilatory_arsenite_oxidation.value	anammox.value	nitrate_denitrification.value	nitrite_denitrification.value	nitrous_oxide_denitrification.value	chitinolysis.value	knallgas_bacteria.value	dark_hydrogen_oxidation.value	nitrogen_fixation.value	nitrate_ammonification.value	nitrite_ammonification.value	nitrite_respiration.value	gelatin_degradation.value	cellulolysis.value	xylanolysis.value	dark_sulfide_oxidation.value	dark_sulfur_oxidation.value	dark_thiosulfate_oxidation.value	dark_oxidation_of_sulfur_compounds.value	manganese_oxidation.value	manganese_respiration.value	ligninolysis.value	fermentation.value	lactic_acid_fermentation.value	alcohol_fermentation.value	aerobic_chemoheterotrophy.value	invertebrate_parasites.value	human_pathogens_septicemia.value	human_pathogens_pneumonia.value	human_pathogens_nosocomia.value	human_pathogens_meningitis.value	human_pathogens_gastroenteritis.value	human_pathogens_diarrhea.value	human_pathogens_all.value	fish_parasites.value	human_gut.value	human_associated.value	mammal_gut.value	animal_parasites_or_symbionts.value	plant_pathogen.value	oil_bioremediation.value	aromatic_hydrocarbon_degradation.value	aromatic_compound_degradation.value	aliphatic_non_methane_hydrocarbon_degradation.value	hydrocarbon_degradation.value	dark_iron_oxidation.value	iron_oxidation.value	iron_respiration.value	nitrate_respiration.value	nitrate_reduction.value	nitrogen_respiration.value	fumarate_respiration.value	intracellular_parasites.value	chlorate_reducers.value	predatory_or_exoparasitic.value	anoxygenic_photoautotrophy_H2_oxidizing.value	anoxygenic_photoautotrophy_S_oxidizing.value	anoxygenic_photoautotrophy_Fe_oxidizing.value	anoxygenic_photoautotrophy.value	oxygenic_photoautotrophy.value	photoautotrophy.value	aerobic_anoxygenic_phototrophy.value	photoheterotrophy.value	phototrophy.value	plastic_degradation.value	ureolysis.value	reductive_acetogenesis.value	acetate_oxidation.value	lactate_oxidation.value	chemoheterotrophy.value	alginate_degradation.value	pectin_degradation.value	collagen_degradation.value	anaerobic_chemoheterotrophy.value	obligate_anaerobes.value	facultative_anaerobes.value	sulfur_reduction.value
FJ157231.1.1401	Acetobacter_lovaniensis	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;Acetobacter lovaniensis	U	A	A	A	A	A	A	A	U	U	U	U	A	A	A	U	A	A	A	U	A	U	U	U	U	A	A	A	A	U	U	U	U	A	A	A	A	U	U	U	U	U	U	U	A	U	A	A	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	P	A	A	U	U	U	A	A	A	A	A	A	A	A	A	U	U	A	P	U	P	U	U	U	A	A	A	U
AB052706.1.1401	Acetobacter_orientalis	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;Acetobacter orientalis	U	A	A	A	A	A	A	A	U	U	U	U	A	A	A	U	A	A	A	U	A	U	U	U	U	A	A	A	A	U	U	U	U	A	A	A	A	U	U	U	U	U	U	U	A	U	A	A	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	A	A	A	U	U	U	A	A	A	A	A	A	A	A	A	U	U	A	P	U	P	U	U	U	A	A	A	U
AJ419845.1.1442	Acetobacter_orleanensis	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;Acetobacter orleanensis	U	A	A	A	A	A	A	A	U	U	U	U	A	A	A	U	A	A	A	U	A	U	U	U	U	A	A	A	A	U	U	U	U	A	A	A	A	U	U	U	U	U	U	U	A	U	A	A	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	P	A	A	U	U	U	A	A	A	A	A	A	A	A	A	U	U	A	P	U	P	U	U	U	A	A	A	U
MF457917.1.1406	Acetobacter_pasteurianus	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;Acetobacter pasteurianus	U	A	A	A	A	A	A	A	U	U	U	U	A	A	A	U	A	A	A	U	A	U	U	U	U	A	A	A	A	U	U	U	U	A	A	A	A	U	U	U	U	U	U	U	A	U	A	A	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	A	A	P	A	A	U	U	U	A	A	A	A	A	A	A	A	A	U	U	A	P	U	P	U	U	U	A	A	A	U
AJ001632.1.1491	Acetobacter_pomorum	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;Acetobacter pomorum	U	A	A	A	A	A	A	A	P	P	U	U	A	A	A	U	A	A	A	U	A	U	U	U	U	A	A	A	A	U	U	U	U	A	A	A	A	U	U	U	U	U	U	U	A	U	A	A	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	U	A	A	U	U	U	A	A	A	A	A	A	A	A	A	U	U	A	P	A	P	U	U	U	A	A	A	U
AB052712.1.1412	Acetobacter_syzygii	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;Acetobacter syzygii	U	A	A	A	A	A	A	A	U	U	U	U	A	A	A	U	A	A	A	U	A	U	U	U	U	A	A	A	A	U	U	U	U	A	A	A	A	U	U	U	U	U	U	U	A	U	A	A	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	A	A	A	U	U	U	A	A	A	A	A	A	A	A	A	U	U	A	P	U	P	U	U	U	A	A	A	U
AJ419842.1.1444	Acetobacter_tropicalis	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;Acetobacter tropicalis	U	A	A	A	A	A	A	A	U	U	U	U	A	A	A	U	A	A	A	U	A	U	U	U	U	A	A	A	A	U	U	U	U	A	A	A	A	U	U	U	U	U	U	U	A	U	A	A	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	P	A	A	U	U	U	A	A	A	A	A	A	A	A	A	U	U	A	P	P	P	U	U	U	A	A	A	U
X96960.1.1459	Acetobacterium_bakii	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Acetobacterium;Acetobacterium bakii	U	A	A	A	A	A	A	A	P	P	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	A	U	U	U	U	P	U	U	P	U	U	U	P	P	A	U
X96956.1.1469	Acetobacterium_carbinolicum	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Acetobacterium;Acetobacterium carbinolicum	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	P	U	U	P	U	U	U	U	U	U	U
X96959.1.1469	Acetobacterium_fimetarium	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Acetobacterium;Acetobacterium fimetarium	U	A	A	A	A	A	A	A	U	U	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	A	U	U	U	U	P	U	U	P	U	U	U	P	P	A	U
X96957.1.1469	Acetobacterium_malicum	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Acetobacterium;Acetobacterium malicum	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	P	U	U	P	U	U	U	U	U	U	U
X96958.1.1459	Acetobacterium_paludosum	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Acetobacterium;Acetobacterium paludosum	U	A	A	A	A	A	A	A	P	P	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	A	U	U	U	U	P	U	U	P	U	U	U	P	P	A	U
AJ297449.1.1478	Acetobacterium_tundrae	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Acetobacterium;Acetobacterium tundrae	U	A	A	A	A	A	A	A	P	P	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	A	U	U	U	U	P	U	U	P	U	U	U	P	P	A	U
X96955.1.1474	Acetobacterium_wieringae	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Acetobacterium;Acetobacterium wieringae	U	A	A	A	A	A	A	A	U	U	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	A	U	U	U	U	P	U	U	P	U	U	U	P	P	A	U
X96954.1.1475	Acetobacterium_woodii	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Acetobacterium;Acetobacterium woodii	U	A	A	A	A	A	A	A	P	P	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	A	U	U	U	U	P	U	U	P	U	U	U	P	P	A	U
X89077.1.1472	Acetohalobium_arabaticum	Bacteria	Halanaerobiaeota	Halanaerobiia	Halanaerobiales	Halobacteroidaceae	Acetohalobium	Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halobacteroidaceae;Acetohalobium;Acetohalobium arabaticum	U	A	A	A	A	A	A	A	U	U	A	A	A	U	U	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	A	A	A	A	A	A	A	U	U	P	U	U	P	U	U	U	P	P	A	U
FR733692.1.1516	Acetomicrobium_flavidum	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Acetomicrobium	Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Acetomicrobium;Acetomicrobium flavidum	U	A	A	A	A	A	A	A	U	U	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	A	U	A	U	U	U	U	U	U	U	P	A	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	A	A	A	A	A	A	A	U	U	P	U	U	P	U	U	U	P	P	A	U
AJ010964.1.1510	Acetonema_longum	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Sporomusaceae	Acetonema	Bacteria;Bacillota;Negativicutes;Veillonellales-Selenomonadales;Sporomusaceae;Acetonema;Acetonema longum	U	A	A	A	A	A	A	A	U	U	A	A	A	U	A	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	A	A	U	U	U	U	U	A	A	A	A	A	A	A	A	A	U	U	P	U	U	P	U	U	U	P	P	A	U
AF412968.1.1463	Acholeplasma_axanthum	Bacteria	Bacillota	Bacilli	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Bacteria;Bacillota;Bacilli;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;Acholeplasma axanthum	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	A	U	U	U	P	U	U	U	U	A	P	U
FO681348.1442140.1443654	Acholeplasma_brassicae	Bacteria	Bacillota	Bacilli	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Bacteria;Bacillota;Bacilli;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;Acholeplasma brassicae	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	A	U	U	U	P	U	U	U	U	A	P	U
AY538164.1.1436	Acholeplasma_cavigenitalium	Bacteria	Bacillota	Bacilli	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Bacteria;Bacillota;Bacilli;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;Acholeplasma cavigenitalium	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	A	U	U	U	P	U	U	U	U	A	P	U
AY538165.1.1408	Acholeplasma_equifetale	Bacteria	Bacillota	Bacilli	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Bacteria;Bacillota;Bacilli;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;Acholeplasma equifetale	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	A	U	U	U	P	U	U	U	U	A	P	U
AY538166.1.1409	Acholeplasma_granularum	Bacteria	Bacillota	Bacilli	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Bacteria;Bacillota;Bacilli;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;Acholeplasma granularum	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	P	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	A	U	U	U	P	U	U	U	U	A	P	U
